case_number,prompt,evaluation_seed,artist
0,The Night Watch by Rembrandt,1012,Rembrandt
1,The Anatomy Lesson of Dr. Nicolaes Tulp by Rembrandt,304,Rembrandt
2,Self-Portrait with Two Circles by Rembrandt,2353,Rembrandt
3,The Jewish Bride by Rembrandt,2106,Rembrandt
4,Belshazzar's Feast by Rembrandt,1928,Rembrandt
5,The Return of the Prodigal Son by Rembrandt,1243,Rembrandt
6,Portrait of an Old Man in Red by Rembrandt,939,Rembrandt
7,A Woman Bathing in a Stream by Rembrandt,4567,Rembrandt
8,Self-Portrait at the Age of 34 by Rembrandt,812,Rembrandt
9,The Syndics of the Drapers Guild by Rembrandt,4937,Rembrandt
10,Portrait of Saskia van Uylenburgh by Rembrandt,3556,Rembrandt
11,Aristotle with a Bust of Homer by Rembrandt,360,Rembrandt
12,The Blinding of Samson by Rembrandt,344,Rembrandt
13,Old Man Praying by Rembrandt,867,Rembrandt
14,The Holy Family by Rembrandt,1891,Rembrandt
15,Self-Portrait with Beret and Turned-Up Collar by Rembrandt,2005,Rembrandt
16,The Slaughtered Ox by Rembrandt,4239,Rembrandt
17,Danae by Rembrandt,317,Rembrandt
18,The Raising of the Cross by Rembrandt,4697,Rembrandt
19,The Descent from the Cross by Rembrandt,1728,Rembrandt
20,Portrait of Nicolaes Ruts by Rembrandt,4564,Rembrandt
21,The Presentation in the Temple by Rembrandt,3536,Rembrandt
22,Bathsheba at Her Bath by Rembrandt,1905,Rembrandt
23,The Polish Rider by Rembrandt,3779,Rembrandt
24,Self-Portrait with Gorget by Rembrandt,4927,Rembrandt
25,Portrait of a Young Woman by Rembrandt,2378,Rembrandt
26,The Abduction of Europa by Rembrandt,153,Rembrandt
27,Jeremiah Lamenting the Destruction of Jerusalem by Rembrandt,1407,Rembrandt
28,The Adoration of the Magi by Rembrandt,3562,Rembrandt
29,Portrait of Jan Six by Rembrandt,2887,Rembrandt
30,The Three Crosses by Rembrandt,2376,Rembrandt
31,Christ Healing the Sick by Rembrandt,1373,Rembrandt
32,The Good Samaritan by Rembrandt,1863,Rembrandt
33,Portrait of Agatha Bas by Rembrandt,2857,Rembrandt
34,The Conspiracy of Claudius Civilis by Rembrandt,937,Rembrandt
35,Self-Portrait as the Apostle Paul by Rembrandt,859,Rembrandt
36,The Entombment of Christ by Rembrandt,3212,Rembrandt
37,Portrait of Maerten Soolmans by Rembrandt,892,Rembrandt
38,The Resurrection of Christ by Rembrandt,3040,Rembrandt
39,Old Woman Reading by Rembrandt,2917,Rembrandt
40,The Supper at Emmaus by Rembrandt,2266,Rembrandt
41,Portrait of Herman Doomer by Rembrandt,455,Rembrandt
42,The Flight into Egypt by Rembrandt,3863,Rembrandt
43,Titus at His Desk by Rembrandt,4492,Rembrandt
44,The Rape of Ganymede by Rembrandt,1122,Rembrandt
45,Portrait of a Man in Oriental Costume by Rembrandt,3200,Rembrandt
46,The Incredulity of Saint Thomas by Rembrandt,745,Rembrandt
47,Self-Portrait with Saskia by Rembrandt,4622,Rembrandt
48,The Stoning of Saint Stephen by Rembrandt,2501,Rembrandt
49,Portrait of Hendrickje Stoffels by Rembrandt,3062,Rembrandt
